Keyword,Currency,Avg. monthly searches,Змінення за три місяці,Змінення порівняно з попереднім роком,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026,Searches: Apr 2026,Searches: May 2026
seo optimization,SEK,50000,0%,0%,Низький,17.0,"15,45","225,16",,,,,,,,,,,,,,,,,
seo,SEK,500000,0%,0%,Низький,22.0,"6,37","81,24",,,,,,,,,,,,,,,,,
seo marketing,SEK,50000,0%,0%,Низький,22.0,"5,92","182,84",,,,,,,,,,,,,,,,,
seo specialist,SEK,50000,0%,0%,Низький,20.0,"11,79","179,30",,,,,,,,,,,,,,,,,
local seo,SEK,50000,0%,0%,Низький,16.0,"13,75","156,89",,,,,,,,,,,,,,,,,
seo companies,SEK,50000,0%,0%,Низький,12.0,"17,59","338,33",,,,,,,,,,,,,,,,,
seo consultant,SEK,50000,0%,0%,Низький,10.0,"17,79","248,54",,,,,,,,,,,,,,,,,
seo website,SEK,50000,0%,0%,Низький,25.0,"5,09","106,10",,,,,,,,,,,,,,,,,
seo company near me,SEK,50000,0%,0%,Низький,8.0,"23,37","569,32",,,,,,,,,,,,,,,,,
seo search engine optimization,SEK,50000,0%,0%,Низький,22.0,"5,92","182,84",,,,,,,,,,,,,,,,,
